,id,text,likes,comments
10,#Bristruth30643,Why is the uni shoving blackboard collaborate in our faces? Had my first group meeting on it and found out you can only see 4 other people at a time. Why not just use zoom? or teams? or webex? or discord? or any other video confrencing software that isnt total shit,29,0
11,#Bristruth30642,"Broke: Paying full price for Spotify

Woke: Using student discount to get it for half price

Bespoke: Grouping up with your flatmates to get a family account",40,4
12,#Bristruth30641,"Have you considered deferring this year?
Like: Everyday of my life
Heart: No, I take life seriously
Cry: I already have",88,3
13,#Bristruth30640,Is anyone having trouble caring about their degree this year? My hearing is bad enough without lecturers being muffled behind a mask AND a visor,50,1
14,#Bristruth30639,My flatmates and I are obsessed with Twinings Spicy Chai but we can't find it anywhere now. Does anyone know where we could buy some? It's essential to our flat wellbeing,2,1
15,#Bristruth30638,Props to the Bristol Aerospace department for screwing over its students by forcing them to work in the same terrible groups as last year and then having the gall to say its “an exercise in your diplomacy and group management skills”,18,2
16,#Bristruth30637,The only good thing about having to social distance and wear masks and visors in seminars is that no one will notice when I haven't showered for the past 3 days,3,0
17,#Bristruth30636,"Honestly 9ams are a scam, the uni knows we arent physically capable of waking up that early so we will inevitably fail and have to retake the year making the uni more £££",67,6
18,#Bristruth30635,Finished a 3 year degree without ever being confident whether formative or summative meant the assessment counted. Please tell me I'm not the only one.,79,5
19,#Bristruth30634,"Would anybody be interested in joining a mushroom foraging/mycology group chat? I doubt there'd be enough people for a soc but it'd be fun to share foraging spots, mushroom memes and stuff - like if you'd be into it :)",111,90
20,#Bristruth30633,"Now that we're down to 7 in the Great British Bakeoff, let's do a bristruths popularity test:

Like: Peter – the perpetually scared puppy
Love: Laura – likes theatre.
Care: Marc – single dad
Angry: Dave – the boring one
Sad: Lottie – if anyone knows her, dm me right tf now
Haha: Hermine – was absolutely robbed this week
Shocked: Mark – Irish or something idk",117,46
21,#Bristruth30632,"You know like, when you go through a photo album and it's like looking at your memories going backwards from now, repeatedly remembering where you were in each photo, thinking further into the past. You get the same feeling when you look through a playlist you've been adding to for years. You see each song and immediately relive the moment when you first heard that song, loved it and added it to the playlist. You remember who showed you each song, their faces flashing up in your mind involuntarily.",25,0
22,#Bristruth30631,imagine going round someone else's house and connecting to their wifi then having the audacity to complain when it doesn't work,17,6
23,#Bristruth30630,"I swear lecturers are just using asynchronous content as an excuse to not have to stick to an hour (or whatever) a week of teaching content. It's no hate to the lecturers, but having a time limit on teaching new material meant that it was more concise and if it ran over, stuff would get cut.",48,0
24,#Bristruth30629,"Could people actually talk in our online seminars. Thanks, annoyed third year sociology student",9,1
25,#Bristruth30628,"Thanks to the mental health support posters in the physics womens bathroom, my best friend and I decided against drinking wine from the bottle with a straw at 4 on a Tuesday",32,0
26,#Bristruth30627,People who don't go to Uni of Bristol... why are you reading this?,7,6
27,#Bristruth30626,"Does anyone have experience getting an ADHD diagnosis later in life? My parents refused to get me assessed when I was younger because I did well in school, but now I’m living on my own I find myself still with the symptoms but they’ve started affecting my life in a really bad way. I think it’s time to finally seek help but I’m worried no one will take me seriously because I’m no longer a child and I’m a female....",30,13
28,#Bristruth30625,Love watching the smokers outside Hiatt baker hall trying to decide if they're in their pyjamas or dressed up for a day in Bristol,34,0
29,#Bristruth30624,"For anyone who wasn’t aware - the university has mobile testing sites where you can just walk in and get a test there and then (open until 3:30pm)

The locations of our Mobile Testing Units for staff and students are:

North Village, (University Hall) BS9 1AR

Biomedical Sciences Building rear entry via Medical Avenue, BS8 1TD",27,0
30,#Bristruth30623,"Oh think you can get away from the social embarrassment gremlin in 2020 ey? think you can just STAY AT HOME, avoid all human interaction and enjoy your solitude? No EMBARRASSING situations for you then is it?????
well then well then well then then well, what do you think of THIIIIIS:
you see a briscrush for initials of somebody you hate, signed by initials that look like yours. so it just looks like you were the one who wrote it for them. and actually had a thing for them.
when you DIDN'T hahahahaha you will never escape the social embarrassment gremlin! NEEEVVEEERRRRRRRRRRRR

fuck 2020 man...",6,0
31,#Bristruth30622,"Could someone create a platform like Drag race for gay women, just wish their voices were heard more often",10,1
32,#Bristruth30621,if the norths so good why do u go to a uni in the south,169,64
33,#Bristruth30620,"Shout out to Rob a barber from Bristol who sent 300 beers to students self isolating in the Courtrooms.

You're a legend",364,1
34,#Bristruth30619,There are 2 people living in my flat and we’re having to replace the roll of toilet paper every 2-4 days because it gets used so quickly- is this excessive toilet paper usage on my flatmates behalf or do I not use enough??,14,19
35,#Bristruth30618,Top zoom tip: go into the settings and set it so your mic is automatically muted when you join,0,0
36,#Bristruth30617,are the visors really necessary? sincerely a very steamy second year,220,22
37,#Bristruth30616,As a 2nd year I hope that the 3rd year online lectures will be available for me next year. They're so much easier to follow and better for at home revision even if we have normal lectures,15,1
38,#Bristruth30615,"Any working class students out there that are about to graduate, who do not have a family home to move back in to come July? Mine have already downsized and I'm going from a life of relying on student finance and part-time work, to just me, and it's quite terrifying given the current job market.",27,2
39,#Bristruth30614,Don't know who needs to hear this tonight but you're doing great right now just by doing you. I promise it will get better!,92,3
40,#Bristruth30613,Does anyone know about renters rights and what it would take to break a contract if I wanted to live at home instead? Sincerely a regretful second year,3,5
41,#Bristruth30612,"I don't mean to brag, but following on from my last Bristruth (#Bristruth29654 ), I'm now on a 1033 day Duolingo streak. Where do I collect my UWE modern languages degree?",73,22
42,#Bristruth30611,"Can't believe we're already getting Christmas ads on Youtube, and seeing Christmas products in supermarkets... on October 20th.

It should be highly illegal to publicly sell/promote your Christmas products before December 1st.

""Festive spirit"" needs quarantining more than covid...",38,1
43,#Bristruth30610,Does anyone else like to eat their crumpets upside down so they can feel the holes on their tongue or is it just me,8,10
44,#Bristruth30609,Anyone else get too distracted staring at the hot people in your zoom lectures you miss whatever the hell is being said?,11,3
45,#Bristruth30608,Does anyone else want to flex how many bristruths they’ve had posted but they can’t because they’re too tragically embarassing? No? Me either,14,4
46,#Bristruth30607,"Flatmates Debate 2:
What side of the foil do you use (facing up on the tray):

❤️ For shiny side up
😢 For dull side up",1,2
47,#Bristruth30606,"Best part of online learning?

👍 Blackboard ‘database errors’

😮 Confirming form resubmission

😥 Blackboard unit headers that are just the template for the school

❤️ Lectures crashing half way through",4,0
48,#Bristruth30605,"#Bristruth30552 you think thats bad, I have nutella with my eggs, nothing beats waking up, spreading nutella on your bread and then having a nice yoke egg on top, the yoke and nutella just mix so seemlessly and create a delicious wet and sticky chocolatey-savoury flavour",8,18
49,#Bristruth30604,"Has anyone else had trouble with Bristol nightline recently? I of course understand that they would be busy and understaffed especially right now, but everytime I've called I've not been able to get through to anyone, and have been advised to call the samaritans who I've also not been able to get through to because they've been too busy. I've had such a good experience with them previously and it's a shame they don't seem to have enough volunteers to help everyone.",10,7
50,#Bristruth30603,"I have 1000 more pics of the good boys and girls of #Brispets3818, want to see how many people actually want more of them",30,2
51,#Bristruth30602,Can anyone suggest some affordable close-to-campus cafes please? Need some chill and cheap study places :),3,4
52,#Bristruth30601,Pretty sure at least half of the people hating on the Tories are just doing it to fit in at Bristol...,60,13
53,#Bristruth30600,"How do I explain to my friends that they are wonderful humans and I love having them in my life? By writing a bristruth so I can tag them, obviously",36,16
54,#Bristruth30599,Discovered my flatmate eats kiwis with the skin on - is this a legal basis to break my lease?,94,89
55,#Bristruth30598,Synchronous lectures would be a lot better if Martin Tyler introduced them with “AND IT’S LIVE”,141,25
56,#Bristruth30597,1 like and I drop out of uni,64,0
57,#Bristruth30596,"Mid-2000s Emo bands ranked:

Exemplary: Flee The Seen

Commendable: Flyleaf, Hundred Reasons, Senses Fail, Funeral for a Friend, Delta Delta!

Could have been better: My Chemical Romance, Taking Back Sunday, Evanescence, Simple Plan, Something Corporate, Dashboard Confessional

Could have been worse: Fall Out Boy, Panic! At The Disco, Brand New, The Used, Death Cab for Cutie, AFI

Just couldn’t: Paramore",0,24
58,#Bristruth30595,"Don't do a year in industry boiz it's a trap...
Now I know that I don't want to finish my education OR start a career",86,26
59,#Bristruth30594,Petition for there to be a 'Keep Me Signed In' option on SSO and Blackboard ☝,256,2
60,#Bristruth30593,Some people really need to hear that having a camera and being a photographer are different things,74,16
61,#Bristruth30592,"The Midlands is exclusively Birmingham and the Black Country. If you don't live in one of these two, but identify as from the Midlands, I'm sorry to inform you, but you are indeed a northerner",25,26
62,#Bristruth30591,Face shields shouldn’t be mandatory in seminars it’s not like anyone speaks anyways,71,0
63,#Bristruth30590,My dad has started reacting to my Bristruth comments and I don't know how to feel about this.,24,4
64,#Bristruth30589,the plathtic vampire fangth thtay on during thex,95,11
65,#Bristruth30588,Tag a mate who was gutted his couldn't shark this year cos of the #pannyd,0,12
66,#Bristruth30587,"started using hannah montana transition music in my head when i do something new. It makes making breakfast at 1pm less depressing, try it.

oOOOoooOOoOoo yeaheaheah✨",114,21
67,#Bristruth30586,Taking a Dump while listening to your lecture is Big Dick Energy,15,4
68,#Bristruth30585,Someone tell me how all my friends seem to have found boyfriends in Bristol despite being on their year abroad while the closest I’ve come to a man is accidentally flashing people because I live on a main road,20,1
69,#Bristruth30584,Feel like shit. Just want Virgil back..,103,41
70,#Bristruth30583,Wish I could get drilled as much as the flat next door,6,3
71,#Bristruth30582,The pigeons nesting in the roof of the theatre department are getting more out of 'blended learning' than I am,28,1
72,#Bristruth30581,"When he puts on Top Gear as the Netflix for the Netflix and Chill, you know you’re onto a winner",58,25
73,#Bristruth30580,"Lets see what the consensus for 2020 is then.

Christmas songs may begin:

😡 - December
❤️ - 29th November (first advent)
😢 - Now
👍🏻 - All year",126,35
74,#Bristruth30579,As a fresher who cannot enjoy the complete experience of Bristol nightlife. Where are all your favourite places to go ? I want a list so I know where to hit as soon as Boris fucks off with his stupid rules. Much appreciated x,10,5
75,#Bristruth30578,Does anyone know if you can ban yourself from the food delivery apps like you can casinos?? Asking for a friend,40,21
76,#Bristruth30577,"As someone who grew up in Bristol i am shocked that a lot of others, especially privately educated folk, don’t view being called a tory as offensive.",71,5
77,#Bristruth30576,Never thought I'd be upset about a geography field trip to slapton getting cancelled yet here we are,25,6
78,#Bristruth30575,"Just got home from a date and now I’m eating shredded cheese out of the bag
clearly my life is going very well",123,33
79,#Bristruth30574,My 13 year old cousin has just joined Instagram and here bio is “my friends are in my heart not my bio”. I’m thrilled this vomit inducing line didn’t die with our generation. We aren’t the only embarrassing ones,35,0
80,#Bristruth30573,Its sunday night! No one wants to hear about how you want to shag betty white!!,0,0
81,#Bristruth30572,I think i might be a homosexual.. Help me?,17,13
82,#Bristruth30571,I genuinely don’t understand why people hate breakout rooms so much? I’m actually talking to people on my course so much more than last year,19,1
83,#Bristruth30570,"If your personality is listening to the beetles and 80s music, you are boring please stfu",29,33
84,#Bristruth30569,"I don't want this to come across like I'm saying ""oh poor me I'm so fit everyone wants to shag me"" but I am actually starting to think that there is no one who actually is interested in and would want to talk to me about how my day has been and ask me about what I'm studying because literally all men ever want from me is sex and if I talk about something real happening in my life they're completely disinterested like it doesn't matter that I'm a person with thoughts other than wanting attention/sex from them. I'm honestly getting tired of it now and feeling pretty fucking lonely",57,14
85,#Bristruth30568,Has anyone actually recieved a test result back through the MTUs? It's been 5 days for me since I got one at UH,1,1
86,#Bristruth30567,The uni could improve my quality of life by 500% if they stopped logging me out of Blackboard automatically after 15 bloody minutes,336,1
87,#Bristruth30566,Nice to see people from the south finally noticing the north getting consistently fucked over by the government. Not nice to see my housemates still making me repeat myself every time I say bath.,173,19
88,#Bristruth30565,"Have been considering a Uni gym & swim pass for awhile, but have been held back by Covid concerns.
To the Uni gym and/or pool users out there, do you think the facilities are safe enough to use regularly?
Mainly in terms of:
(1) Crowd
(2) Are people social distancing?
(3) Are the equipments and facility being sanitised regularly enough?
On that note, any tips on staying safe while using the facilities?",4,2
89,#Bristruth30564,"all bristol boys have four moods: mullet, dnb, palace t shirt, do ket",102,12
90,#Bristruth30563,"Don’t forget to register to vote!!!
Next May, councils, mayors, police commissioners, welsh, NI and Scottish Parliament are up for election.

Remember you can vote in BOTH Bristol and Home for all elections but General (for your MP).

Please re register to vote.",41,0
91,#Bristruth30562,"A teenage girl shouts at congress to fix climate change: everyone applauds

A trillion dollar company actually doing something about it by drastically reducing carbon waste and encouraging reuse of old chargers: everyone loses their minds

Humans truly are a selfish race",69,27
92,#Bristruth30561,We need to find out who shat on c200's kitchen floor,0,0
93,#Bristruth30560,"anyone else have bit of a shitty home life?
everyone’s talking about how they could just be at home with online lectures, but I’m just relieved I have Bristol to feel safe and happy :/",110,6
94,#Bristruth30559,"If you moved into a Digs basement flat in York Gardens... Good luck. They do an amazing job of painting over the black mould and minimising the mouse problem, but your electricity bills will be too high to run the heating and there is almost definitely some extant form of plague lingering under the hideous orange lino. The cheapest flat in Bristol comes at a hefty cost...",19,5
95,#Bristruth30558,I don't think there's any more insufferable group of people than Elon Musk fans.,132,19
96,#Bristruth30557,Who else loves being ghosted by all their friends on the group chat ❤️❤️❤️❤️❤️❤️,27,3
97,#Bristruth30556,My flatmate: I thought the Catholic method was anal...,8,6
98,#Bristruth30555,"Any advice on how to support people with autism through the pandemic? My brother is really struggling and phones me in tears most days, I just don't know how to help 😣",22,4
99,#Bristruth30554,"Big Ideas in Science unit is literally VSauce episodes without Michael.
You can't change my mind.",17,1
100,#Bristruth30553,Cabot Circus feels like another world when you're a uni student on a budget.,54,0
101,#Bristruth30552,"I recently became aware that my love of ketchup on eggs is controversial :(.
I have enjoyed ketchup on my scrambled eggs (as well as on fried eggs, poached eggs, and omelettes) my whole life without ever coming across this debate and am now having an existential crisis.

please reassure me that I have not been committing a culinary crime for the last 21 years

heart for ketchup and eggs are yummy
angry for I must repent my sins to our lord and saviour Gordon Ramsey",22,41
102,#Bristruth30551,"To all the international students who decided to stay at home, well done. I wish I had done the same. I'm just pointlessly wasting money on rent.",55,1
103,#Bristruth30550,Best places to go for Roast Dinners in Bristol??,10,57
104,#Bristruth30549,"I've noticed that a lot of my unit is F2F, but unfortunately I'm an online student this semester. So where does that leave me?

Missing 70% of my course contact hours?",0,1
105,#Bristruth30548,"A haiku to my first year self (and any freshers reading this):

uni boys don't know
how to make you orgasm;
focus on your work",146,6
106,#Bristruth30547,"Louis Theroux > David Attenborough
Fight me.",56,9
107,#Bristruth30546,"Let's just consider again the madness of this:
1) The North is in Tier 2 for three months - We get nowt.
2) London is in Tier 2 for one day - ""Urgent offers of more support.""
3) Northern cities say Tier 3 only with more support - ""Sorry, no money, stop putting us over a barrel.""
The special treatment London receive is classist and elitist. The government really believe London is the centre of the universe.",210,6
108,#Bristruth30545,"Picture this: it’s 2030 and the night clubs are finally reopening. Bristol hotels are all booked up by sophisticated professionals who somehow managed to get their high flying job with a degree over the internet, and thanks to COVID where it killed all the oldies, and all the senior positions were made vacant. Those 3 years of being locked in a flat were worth it to be back in Bristol and ready for the reopening of The Lounge (renamed Lizalo- oooh trendy). You spent your evening in the penthouse of a hotel you’ve booked for the week (hangovers/ come downs now take at least 5 days to recover). Your old uni friends have turned up, and you get paralytic. But this time, you guys have advanced to the finest of alcohol, and the finest of what Columbia has to offer. You waltz up to Clifton triangle- queues and queues of people swarm around, all of which have the noticeable crows feet & you think ‘my people. This is where I belong’ as you line up to LizaLo (‘shit name’ you say to your peers). You enter and walk down the steps- you can feel the sweat drip down off the ceiling onto your face, and notice the people attempting to dance in such a confined space. You order some drinks including a few jaegars: ‘shot, shots, shots’ chant the club. You buy shots for everyone, you get paralytic, you do lines off people’s body parts, you smoke indoors, there’s an orgy going on in the corner- there are no rules any longer... Yet you still end up throwing up in the toilet- ‘tactical chunder’ you think as you head to the bar, grab a few more shots, dance some more and get with a few more people. The night is a blur. You vaguely remember walking down the road to takka takka. You somehow get an Uber and make it back to the penthouse. You crawl into bed and close your eyes feeling your heart beat rapidly ‘ahh, this is the end’ you think sweetly as you drift off into unconsciousness. You awake the next morning, you’ve got the Colombian cold; you feel like death; everything is hazy but for the first time in over 10 years, you are content. Welcome home x",212,43
109,#Bristruth30544,"Does anyone have any experience of moving from Bristol back home during the year? Did it affect your student finance in any way, or who did you contact about it? Please someone help!",1,1
110,#Bristruth30543,Having a favourite/least favourite colour of fruit pastille is pretty embarrassing,4,1
111,#Bristruth30542,Anyone else feel a responsibility for their parents who can’t deal with the empty nest? What can I do to make it easier for them - I want to live my own life but I want them to be happy.,42,5
112,#Bristruth30541,"Hi, if you're expecting a pink sparkly package from sniffpanties.co.uk, it got delivered to your old address. Hmu if you want us to forward it to you.",3,9
113,#Bristruth30540,"The Midlands don't exist, there is no land between Oxford and Sheffield it's a massive inland sea. If you think you've changed trains at Birmingham that's actually a film set in Powys hence the awful weather. You think you've met a Brummie? That was actually a dolphin hence the squeaky accent",132,24
114,#Bristruth30539,If another a cappella swine starts talking to me about proper mic technique I swear to god idk what I’ll do but someone hold me back,18,17
115,#Bristruth30538,"My flatmates have started calling garlic bread ""G-bread"" because it is mentioned so frequently.",64,41
116,#Bristruth30537,"yeah you may be talking to her, but did she add you on Linkedin?",76,24
117,#Bristruth30536,"My girlfriends mum once described Oxford as ""too far north"" Londoners man",52,11
118,#Bristruth30535,"All Bristol girls have 4 moods: halloumi, avocado toast, flared trousers and cry",446,128
119,#Bristruth30534,bed monday but make it literal,28,0
120,#Bristruth30533,"Yeah I’m an engineer:
E- virgin
N-
G-
I-
N-
E-
E-
R-",207,84
121,#Bristruth30532,Ghosted in October? How festive,165,10
122,#Bristruth30531,"If you’re struggling with your visor fogging you (and admit it - we all are), rinse it in soapy water and let it air dry with the soapiness still on it!! Is not perfect but a big improvement on not being able to see the whiteboard!!",36,9
123,#Bristruth30530,shoutout to our lecturer who didn't realise we were meant to have a meeting and had to zoom us from the car while driving,57,0
124,#Bristruth30529,"To my lovely flatmates,
Can we pleaaaasseeee keep the kitchen a bit cleaner",60,37
125,#Bristruth30528,"Why have people on Blackboard collaborate for Chemistry year 2 been so childish & cruel to their poor lecturers?
They are humans like the rest of us, and it must feel awful enough to have someone not fully engage with your teaching but to have them actively going out of their way to humiliate you, pretending to be them and putting pictures of them as your background is callous. If this is your version of stand up comedy then you sense of humour is seen by almost the entire student body as trashy.
I bet you all consider yourselves nice people too smh.",48,6
126,#Bristruth30527,If you're self isolating and need help please don't forget about mutual aid groups! There are loads of folks who would happily do your shopping or anything you need. There are subsets by postcode but the main Brizzle one is here: https://www.facebook.com/groups/1032597030460220,6,1
127,#Bristruth30526,Tenderstem broccoli is big tory energy,100,75
128,#Bristruth30525,Okay why is the Art and Social Studies Library a literal freezer? Someone please flick the heating on 😭,16,2
129,#Bristruth30524,"Okay but how long do the MTUs take to give back corona results, been waiting over 50 hours now (tested at courtrooms)",7,5
130,#Bristruth30523,"Isolation Diary, day 7:
Head is pounding. I’ll spare you the details but much drinking was done, with no dancing to metabolise it, so I woke up drunk and its now 12pm and I have a lecture in an hour.
En-route to the shower I hoovered up some rice krispies, these have been the soundtrack to my morning as people crunch them with their shoes, enough was enough and this shall be my good deed of the day.
Breakout room was, for the first time, not awkward because we all had something to talk about, you guessed it - isolation. Instead of comparing translations we compared the state of quarantines in our respective flats.
Had a friends’ debrief around 5 to discuss the events of last night, not to be disclosed, use your imagination (or don’t).
5:23 all 28 (yeah there's that many of us) of our doors are being used as percussion instruments in what I can only describe as sounding like a cult summoning. Turns out dinner is being announced. Frankly a gong would achieve the same thing in half the amount of time, even if that is still cultish.
7:30 Flat call with the lovely resi-life rep: Bilbo Baggins (an alias for obvious reasons). Probably the most entertaining collaborate call known to a student. One guy was blinded by his strobe light and nearly fell off his bed; flatcests were outed and the rice krispies culprits were, seemingly, identified. The message chat became a savage playground and BB actively ignored ‘good shag?’.
8:30 sipping on a Fosters while I catch up on the farcical show that is our current government. Coming to terms with the fact that once I get out of this isolation I may only be able to go to a pub if they serve pasties with chips and a side salad. I’m already looking at menus in preparation.
10:30 thought I would get an early night, aka start watching shows early, have gone for Defending the Guilty. The prison footage is not dissimilar from the current state of my hallway so it's somewhat relatable.",33,1
131,#Bristruth30522,I think the saddest thing I’ve learnt this year is that Parsons is a chain and doesn’t just have 3 branches in Bristol,39,6
132,#Bristruth30521,How are you a lawyer and your only form of argument is passive aggressive texts in the house group chat ??,54,18
133,#Bristruth30520,"Right literally noone asked but as a scientist I simply had to. I present my findings from a recent study which I spent far too much time and money on.

A systematic review comparing a spectrum of Oat milks available in UK supermarkets covering price (on a scale of $-$$$), texture and flavour.

*Most milks bought, where possible, were unsweetened Oat milks.*

From the most expensive to least:

Oatly- 9/10 $$$
The OG. The real reason why I love oat milk. Creamy. Froths up beautifully and not too sweet.

Minor Figures- 9/10 $$$
Slightly too thin but tastes amazing in coffee! Doesn't froth up great but would be my go to option if I was boujee.

Asda own brand- 8/10 $
Surprisingly good! Creamy so is a great texture. Only thing holding it back from reaching its true potential is the fact that it tastes like liquid sugar. Needs to chill out on the sweetness but grest for the price point.

Alpro- 7/10 $$
Made mediocre Masala Chai so I have some pent up sadness associated with this which has admittedly clouded my judgement. Ignoring this trauma it was actually alright, again it was just too sweet but on the plus side it is basically always on offer in the supermarket.

Homemade- 6/10 $
This was a real curve ball but needed inorder to achieve a real and balanced scientific review. Super super cheap- oats, water, agave + a few cashews for some fats. Grest texture but naturally didnt last as long and lacked a bit in my tea.

Lidl own brand- 6/10 $
Really not bad at all! Super affordable. Slightly too thin but honestly at the price that it is and the fact that I've had worse, this does the job okay. Also provides an excuse to go to the Lidl bakery so 👀

Aldi own brand (with additives)- 4/10 $
*tyra banks: WE WERE ROOTING FOR YOU*
Honestly I wished, I really wish this was better. I am just deeply upset that its not better. Thin and far far too sweet.

Aldi own brand (just oat and water)- 1/10 $
Dont mean to be a hater because I stan the aldi soy milk. But it was so thin I was like I was adding water to my tea rather than milk.

Plenish- -50/10 $$$
The worst thing ive ever put my self through needing to drink. Costs about one kidney per carton and is generally just the worst. It is like water and tastes bitter. I would literally sue if i could be bothered, and I wrote this so I am clearly committee. Avoid at all costs 🙅🏾‍♀️",148,76
134,#Bristruth30519,"The midlands doesn't exist. There is north, south and middle of a country, but you cannot identify as 'midlands', you either identify as northern, southern or neither.
Fight me",83,40
135,#Bristruth30518,Southerners complete lack of understanding of the concept of the midlands never fails to amaze me,204,81
136,#Bristruth30517,Help! Flat civil war between drinkers and non-drinkers 🥴 Any advice for a first year flat with different interests? Struggling to find common activities during isolation! It’s getting really awkward...😬,8,9
137,#Bristruth30516,"To the guy in kingsdown who set a desk up on top of a garage to study, can I join? I need a new study space",7,0
138,#Bristruth30515,I’m not sure if the girl in the Italian translation seminar knew she had her camera on but I very much enjoyed her twerking during the lesson.,18,4
139,#Bristruth30514,THE PERSON LIVING BELOW ME HAS TAKEN UP THE TRUMPET. WHAT FRESH HELL IS THIS!?,107,30
140,#Bristruth30513,Just found out about recipes without cheese... Damn that shit sucks...,38,16
141,#Bristruth30512,"What the Flip did you just flipping say about me, you little flip? I'll have you know I graduated top of my class in the art of memery. I've submitted numerous secret subs about Bristol, and I have over 300 confirmed posts. I am trained in being an online bellend and I'm THE top wanker in the entire Bristol area. You are nothing to me but just another target. I will wipe you the flip out with precision the likes of which has never been seen before on this Earth, mark my flipping words. You think you can get away with saying that poop to me over the Internet? Think again. As we speak I am contacting my secret network of submitters from across Redland and your IP is being traced right now so you better prepare for the storm, maggot. You're flipping dead, kid. I can be anywhere, anytime, and I can rebut your post in over seven hundred ways, and that's just with my Iphone keyboard. Not only am I extensively trained in online douchery, but I have access to the entire backlog of edgy memes and I will use them to their full extent to wipe your miserable ass off the face of the continent, you little poop.",18,4
142,#Bristruth30511,"Re: #Bristruth30484
Lets settle this genre war once and for all.
Do you like DnB?
❤️ = yes
😢 = no",1,5
143,#Bristruth30510,"I like Turkish Delight. I do. A lot of people don't like Turkish delight, I mean Fry's Turkish delight. The type with the chocolate on it and the purple wrapper. But I like it. A lot of people say ""ugh Turkish delight that's disgusting. How can you eat that? It's like eating perfume, it's like eating old women's perfume. Like lavender water, or rose water or whatever it is. How can you like that?"" But I like it. I like turkish Delight. I don't like it enough to get it for every day, or every week. In fact I can't remember the last time I got a Turkish delight. But every now and then, I'll be in a shop and I walk by the shelves with all the chocolate and I'll see a Turkish delight and I'll get it. It's nice, I like it. I like Turkish Delight.",227,39
144,#Bristruth30509,Only real fans of mrs potts follow their playlist on spotify (it’s full of bops 10/10 would recommend),26,26
145,#Bristruth30508,"hold on, have you been supposed to suck drumstick lollies this whole time???",7,0
146,#Bristruth30507,"Can I just say that NRZ are the worst agency of them all, even worse than digs... Our flat came with a broken fridge/freezer, a hole in the bathroom floor, windows that don't open, a front door with no lock, and a backdoor with a hole in it... And they seem to think they're amazing for fixing a broken bed (badly)???",11,7
147,#Bristruth30506,for the love of goD will the peanut butter bandit just CONFESS,19,2
148,#Bristruth30505,"Just read something about how in some unis, isolating first years are being way overcharged to be brought food packages from the uni. Is this happening in Bristol?? I really feel sorry for first years at the moment. This may be a long shot but if you'd be interested in helping shop for isolating students can you angry react to this and if anyone from Courtrooms or any other isolated students that can't get food shopping pls sad react to this and I can message you and see what I can do
-sincerely, a second year who wishes she could do more to help",16,3
149,#Bristruth30504,"Flatmates seem to fester fruit flies with their rubbish and the flat upstairs is self-isolating... Meanwhile I'm stuck in a year long contract of bills praying that ASDA's Mac N' Cheese sauce goes back down in price. 35p increase my arse.

There is an upside though my friends! Though my room may be windowless, it is damn good at blocking out noise so I can watch tv in peace whenever my 7Mbps internet isn't cutting out! Huzzah!",17,0
150,#Bristruth30503,shout out to our lecturer for sending a video for us to watch which had their telsa with a personalised licence plate in it. subtle flexing,40,4
