id,text,likes,comments
#Bristruth30652,any advice on moving out of your 2nd year house 4 months into your tenancy im having a generally shit time with people i dont know cant trust and people who make me a normally cheery individual feel like completely awful about myself my parents and i have found a one bed flat but im worried moving out on my own will make things worse i feel i would be missing out on so much if i do life and on top of that if we go into lockdown ill be in my own the other option would be to move back home as most of my classes are online what do i do is anyone in a similar position,7,8
#Bristruth30651,advice on how to keep my houseplants alive please theyre all i have left xxx,16,13
#Bristruth30650,why does every single brit chew with their mouth open god the sound is so horrendous,13,5
#Bristruth30649,there have been so many complaints about online learning but i actually like it wondering if anyone agrees likei like online learning sad i dont like online learning angryidc but i like complaining about everything,136,1
#Bristruth30648,anyone else feel that kids nowadays are having a way shitter time than us i feel so sorry for them their actual childhood is getting shaped by this stuff theyll grow up covering their faces and their personalities not to mention not see their friends look after your siblings thanks 3,9,0
#Bristruth30647,project talk uob society peer support scheme  we at projecttalk bristol society are offering 11 and group check in calls from established uob students to fellow peers in need of a chat due to covid19 restrictions  these calls will be friendly and relaxed if you need an outlet to offload what youre going through or just fancy a chat with someone outside of your bubble let us know via the following link and we will arrange for one of our volunteers to give you a call at a time that suits you  please fill in this form to make a request httpsdocsgooglecomformsde1faipqlsein3dfjkjweo1e1f1ewuqwcdunbjzha48ymtp1dx8xeyhogviewformuspsflink  if you have any questions please drop us an email at bristoluniprojecttalkorguk,18,2
#Bristruth30646,im about to be tested for cancer and whilst im hopeful its not im going to prepare for the worst just in case so if anyone has suspended their studies how does the process work and who is the best person to talk to,24,8
#Bristruth30645,are there any societies groups within the union to talk about anxiety it would be nice to speak to other people who are also struggling,22,1
#Bristruth30644,it has recently come to my attention that the official name for the sainsburys on the triangle is simply dingles i shall henceforth be referring to it as such,45,0
#Bristruth30643,why is the uni shoving blackboard collaborate in our faces had my first group meeting on it and found out you can only see 4 other people at a time why not just use zoom or teams or webex or discord or any other video confrencing software that isnt total shit,41,0
#Bristruth30642,broke paying full price for spotify  woke using student discount to get it for half price  bespoke grouping up with your flatmates to get a family account,44,4
#Bristruth30641,have you considered deferring this year like everyday of my life heart no i take life seriously cry i already have,104,5
#Bristruth30640,is anyone having trouble caring about their degree this year my hearing is bad enough without lecturers being muffled behind a mask and a visor,62,1
#Bristruth30639,my flatmates and i are obsessed with twinings spicy chai but we cant find it anywhere now does anyone know where we could buy some its essential to our flat wellbeing,3,2
#Bristruth30638,props to the bristol aerospace department for screwing over its students by forcing them to work in the same terrible groups as last year and then having the gall to say its an exercise in your diplomacy and group management skills,21,4
#Bristruth30637,the only good thing about having to social distance and wear masks and visors in seminars is that no one will notice when i havent showered for the past 3 days,5,0
#Bristruth30636,honestly 9ams are a scam the uni knows we arent physically capable of waking up that early so we will inevitably fail and have to retake the year making the uni more ,85,6
#Bristruth30635,finished a 3 year degree without ever being confident whether formative or summative meant the assessment counted please tell me im not the only one,106,6
#Bristruth30634,would anybody be interested in joining a mushroom foragingmycology group chat i doubt thered be enough people for a soc but itd be fun to share foraging spots mushroom memes and stuff  like if youd be into it ,137,105
#Bristruth30633,now that were down to 7 in the great british bakeoff lets do a bristruths popularity test  like peter  the perpetually scared puppy love laura  likes theatre care marc  single dad angry dave  the boring one sad lottie  if anyone knows her dm me right tf now haha hermine  was absolutely robbed this week shocked mark  irish or something idk,124,47
#Bristruth30632,you know like when you go through a photo album and its like looking at your memories going backwards from now repeatedly remembering where you were in each photo thinking further into the past you get the same feeling when you look through a playlist youve been adding to for years you see each song and immediately relive the moment when you first heard that song loved it and added it to the playlist you remember who showed you each song their faces flashing up in your mind involuntarily,33,0
#Bristruth30631,imagine going round someone elses house and connecting to their wifi then having the audacity to complain when it doesnt work,20,6
#Bristruth30630,i swear lecturers are just using asynchronous content as an excuse to not have to stick to an hour or whatever a week of teaching content its no hate to the lecturers but having a time limit on teaching new material meant that it was more concise and if it ran over stuff would get cut,53,1
#Bristruth30629,could people actually talk in our online seminars thanks annoyed third year sociology student,9,1
#Bristruth30628,thanks to the mental health support posters in the physics womens bathroom my best friend and i decided against drinking wine from the bottle with a straw at 4 on a tuesday,41,0
#Bristruth30627,people who dont go to uni of bristol why are you reading this,15,11
#Bristruth30626,does anyone have experience getting an adhd diagnosis later in life my parents refused to get me assessed when i was younger because i did well in school but now im living on my own i find myself still with the symptoms but theyve started affecting my life in a really bad way i think its time to finally seek help but im worried no one will take me seriously because im no longer a child and im a female,32,15
#Bristruth30625,love watching the smokers outside hiatt baker hall trying to decide if theyre in their pyjamas or dressed up for a day in bristol,43,0
#Bristruth30624,for anyone who wasnt aware  the university has mobile testing sites where you can just walk in and get a test there and then open until 330pm  the locations of our mobile testing units for staff and students are  north village university hall bs9 1ar  biomedical sciences building rear entry via medical avenue bs8 1td,28,0
#Bristruth30623,oh think you can get away from the social embarrassment gremlin in 2020 ey think you can just stay at home avoid all human interaction and enjoy your solitude no embarrassing situations for you then is it well then well then well then then well what do you think of thiiiiis you see a briscrush for initials of somebody you hate signed by initials that look like yours so it just looks like you were the one who wrote it for them and actually had a thing for them when you didnt hahahahaha you will never escape the social embarrassment gremlin neeevveeerrrrrrrrrrrr  fuck 2020 man,6,0
#Bristruth30622,could someone create a platform like drag race for gay women just wish their voices were heard more often,12,3
#Bristruth30620,shout out to rob a barber from bristol who sent 300 beers to students self isolating in the courtrooms  youre a legend,376,1
#Bristruth30619,there are 2 people living in my flat and were having to replace the roll of toilet paper every 24 days because it gets used so quickly is this excessive toilet paper usage on my flatmates behalf or do i not use enough,15,19
#Bristruth30618,top zoom tip go into the settings and set it so your mic is automatically muted when you join,1,0
#Bristruth30617,are the visors really necessary sincerely a very steamy second year,228,22
#Bristruth30616,as a 2nd year i hope that the 3rd year online lectures will be available for me next year theyre so much easier to follow and better for at home revision even if we have normal lectures,15,1
#Bristruth30615,any working class students out there that are about to graduate who do not have a family home to move back in to come july mine have already downsized and im going from a life of relying on student finance and parttime work to just me and its quite terrifying given the current job market,28,3
#Bristruth30614,dont know who needs to hear this tonight but youre doing great right now just by doing you i promise it will get better,94,3
#Bristruth30613,does anyone know about renters rights and what it would take to break a contract if i wanted to live at home instead sincerely a regretful second year,4,5
#Bristruth30612,i dont mean to brag but following on from my last bristruth bristruth29654  im now on a 1033 day duolingo streak where do i collect my uwe modern languages degree,78,25
#Bristruth30611,cant believe were already getting christmas ads on youtube and seeing christmas products in supermarkets on october 20th  it should be highly illegal to publicly sellpromote your christmas products before december 1st  festive spirit needs quarantining more than covid,40,1
#Bristruth30610,does anyone else like to eat their crumpets upside down so they can feel the holes on their tongue or is it just me,9,10
#Bristruth30609,anyone else get too distracted staring at the hot people in your zoom lectures you miss whatever the hell is being said,11,3
#Bristruth30608,does anyone else want to flex how many bristruths theyve had posted but they cant because theyre too tragically embarassing no me either,14,4
#Bristruth30607,flatmates debate 2 what side of the foil do you use facing up on the tray  love for shiny side up sad for dull side up,2,2
#Bristruth30606,best part of online learning  like blackboard database errors  shocked confirming form resubmission   blackboard unit headers that are just the template for the school  love lectures crashing half way through,4,0
#Bristruth30605,bristruth30552 you think thats bad i have nutella with my eggs nothing beats waking up spreading nutella on your bread and then having a nice yoke egg on top the yoke and nutella just mix so seemlessly and create a delicious wet and sticky chocolateysavoury flavour,8,20
#Bristruth30604,has anyone else had trouble with bristol nightline recently i of course understand that they would be busy and understaffed especially right now but everytime ive called ive not been able to get through to anyone and have been advised to call the samaritans who ive also not been able to get through to because theyve been too busy ive had such a good experience with them previously and its a shame they dont seem to have enough volunteers to help everyone,11,7
#Bristruth30603,i have 1000 more pics of the good boys and girls of brispets3818 want to see how many people actually want more of them,30,2
#Bristruth30602,can anyone suggest some affordable closetocampus cafes please need some chill and cheap study places ,3,4
#Bristruth30601,pretty sure at least half of the people hating on the tories are just doing it to fit in at bristol,60,13
#Bristruth30600,how do i explain to my friends that they are wonderful humans and i love having them in my life by writing a bristruth so i can tag them obviously,36,16
#Bristruth30599,discovered my flatmate eats kiwis with the skin on  is this a legal basis to break my lease,97,89
#Bristruth30598,synchronous lectures would be a lot better if martin tyler introduced them with and its live,145,25
#Bristruth30596,mid2000s emo bands ranked  exemplary flee the seen  commendable flyleaf hundred reasons senses fail funeral for a friend delta delta  could have been better my chemical romance taking back sunday evanescence simple plan something corporate dashboard confessional  could have been worse fall out boy panic at the disco brand new the used death cab for cutie afi  just couldnt paramore,0,24
#Bristruth30595,dont do a year in industry boiz its a trap now i know that i dont want to finish my education or start a career,87,26
#Bristruth30594,petition for there to be a keep me signed in option on sso and blackboard ,257,2
#Bristruth30593,some people really need to hear that having a camera and being a photographer are different things,76,17
#Bristruth30592,the midlands is exclusively birmingham and the black country if you dont live in one of these two but identify as from the midlands im sorry to inform you but you are indeed a northerner,25,26
#Bristruth30591,face shields shouldnt be mandatory in seminars its not like anyone speaks anyways,73,0
#Bristruth30590,my dad has started reacting to my bristruth comments and i dont know how to feel about this,24,4
#Bristruth30588,tag a mate who was gutted his couldnt shark this year cos of the pannyd,0,12
#Bristruth30587,started using hannah montana transition music in my head when i do something new it makes making breakfast at 1pm less depressing try it  ooooooooooooo yeaheaheah,114,21
#Bristruth30586,taking a dump while listening to your lecture is big dick energy,16,4
#Bristruth30585,someone tell me how all my friends seem to have found boyfriends in bristol despite being on their year abroad while the closest ive come to a man is accidentally flashing people because i live on a main road,21,1
#Bristruth30582,the pigeons nesting in the roof of the theatre department are getting more out of blended learning than i am,29,1
#Bristruth30581,when he puts on top gear as the netflix for the netflix and chill you know youre onto a winner,58,25
#Bristruth30580,lets see what the consensus for 2020 is then  christmas songs may begin  angry  december love  29th november first advent sad  now like  all year,127,35
#Bristruth30579,as a fresher who cannot enjoy the complete experience of bristol nightlife where are all your favourite places to go  i want a list so i know where to hit as soon as boris fucks off with his stupid rules much appreciated x,10,6
#Bristruth30578,does anyone know if you can ban yourself from the food delivery apps like you can casinos asking for a friend,41,21
#Bristruth30577,as someone who grew up in bristol i am shocked that a lot of others especially privately educated folk dont view being called a tory as offensive,72,5
#Bristruth30576,never thought id be upset about a geography field trip to slapton getting cancelled yet here we are,25,6
#Bristruth30575,just got home from a date and now im eating shredded cheese out of the bag clearly my life is going very well,125,33
#Bristruth30574,my 13 year old cousin has just joined instagram and here bio is my friends are in my heart not my bio im thrilled this vomit inducing line didnt die with our generation we arent the only embarrassing ones,36,0
#Bristruth30573,its sunday night no one wants to hear about how you want to shag betty white,0,0
#Bristruth30571,i genuinely dont understand why people hate breakout rooms so much im actually talking to people on my course so much more than last year,20,1
#Bristruth30570,if your personality is listening to the beetles and 80s music you are boring please stfu,31,33
#Bristruth30569,i dont want this to come across like im saying oh poor me im so fit everyone wants to shag me but i am actually starting to think that there is no one who actually is interested in and would want to talk to me about how my day has been and ask me about what im studying because literally all men ever want from me is sex and if i talk about something real happening in my life theyre completely disinterested like it doesnt matter that im a person with thoughts other than wanting attentionsex from them im honestly getting tired of it now and feeling pretty fucking lonely,58,14
#Bristruth30568,has anyone actually recieved a test result back through the mtus its been 5 days for me since i got one at uh,1,1
#Bristruth30567,the uni could improve my quality of life by 500 if they stopped logging me out of blackboard automatically after 15 bloody minutes,343,1
#Bristruth30566,nice to see people from the south finally noticing the north getting consistently fucked over by the government not nice to see my housemates still making me repeat myself every time i say bath,177,19
#Bristruth30565,have been considering a uni gym  swim pass for awhile but have been held back by covid concerns to the uni gym andor pool users out there do you think the facilities are safe enough to use regularly mainly in terms of 1 crowd 2 are people social distancing 3 are the equipments and facility being sanitised regularly enough on that note any tips on staying safe while using the facilities,4,2
#Bristruth30564,all bristol boys have four moods mullet dnb palace t shirt do ket,103,12
#Bristruth30563,dont forget to register to vote next may councils mayors police commissioners welsh ni and scottish parliament are up for election  remember you can vote in both bristol and home for all elections but general for your mp  please re register to vote,41,0
#Bristruth30562,a teenage girl shouts at congress to fix climate change everyone applauds  a trillion dollar company actually doing something about it by drastically reducing carbon waste and encouraging reuse of old chargers everyone loses their minds  humans truly are a selfish race,69,27
#Bristruth30560,anyone else have bit of a shitty home life everyones talking about how they could just be at home with online lectures but im just relieved i have bristol to feel safe and happy ,110,6
#Bristruth30559,if you moved into a digs basement flat in york gardens good luck they do an amazing job of painting over the black mould and minimising the mouse problem but your electricity bills will be too high to run the heating and there is almost definitely some extant form of plague lingering under the hideous orange lino the cheapest flat in bristol comes at a hefty cost,19,5
#Bristruth30558,i dont think theres any more insufferable group of people than elon musk fans,132,19
#Bristruth30557,who else loves being ghosted by all their friends on the group chat lovelovelovelovelovelove,27,3
#Bristruth30555,any advice on how to support people with autism through the pandemic my brother is really struggling and phones me in tears most days i just dont know how to help ,22,4
#Bristruth30554,big ideas in science unit is literally vsauce episodes without michael you cant change my mind,17,1
#Bristruth30553,cabot circus feels like another world when youre a uni student on a budget,54,0
#Bristruth30552,i recently became aware that my love of ketchup on eggs is controversial  i have enjoyed ketchup on my scrambled eggs as well as on fried eggs poached eggs and omelettes my whole life without ever coming across this debate and am now having an existential crisis  please reassure me that i have not been committing a culinary crime for the last 21 years  heart for ketchup and eggs are yummy angry for i must repent my sins to our lord and saviour gordon ramsey,22,41
#Bristruth30551,to all the international students who decided to stay at home well done i wish i had done the same im just pointlessly wasting money on rent,55,1
#Bristruth30549,ive noticed that a lot of my unit is f2f but unfortunately im an online student this semester so where does that leave me  missing 70 of my course contact hours,0,1
#Bristruth30548,a haiku to my first year self and any freshers reading this  uni boys dont know how to make you orgasm focus on your work,146,6
#Bristruth30546,lets just consider again the madness of this 1 the north is in tier 2 for three months  we get nowt 2 london is in tier 2 for one day  urgent offers of more support 3 northern cities say tier 3 only with more support  sorry no money stop putting us over a barrel the special treatment london receive is classist and elitist the government really believe london is the centre of the universe,210,6
#Bristruth30545,picture this its 2030 and the night clubs are finally reopening bristol hotels are all booked up by sophisticated professionals who somehow managed to get their high flying job with a degree over the internet and thanks to covid where it killed all the oldies and all the senior positions were made vacant those 3 years of being locked in a flat were worth it to be back in bristol and ready for the reopening of the lounge renamed lizalo oooh trendy you spent your evening in the penthouse of a hotel youve booked for the week hangovers come downs now take at least 5 days to recover your old uni friends have turned up and you get paralytic but this time you guys have advanced to the finest of alcohol and the finest of what columbia has to offer you waltz up to clifton triangle queues and queues of people swarm around all of which have the noticeable crows feet  you think my people this is where i belong as you line up to lizalo shit name you say to your peers you enter and walk down the steps you can feel the sweat drip down off the ceiling onto your face and notice the people attempting to dance in such a confined space you order some drinks including a few jaegars shot shots shots chant the club you buy shots for everyone you get paralytic you do lines off peoples body parts you smoke indoors theres an orgy going on in the corner there are no rules any longer yet you still end up throwing up in the toilet tactical chunder you think as you head to the bar grab a few more shots dance some more and get with a few more people the night is a blur you vaguely remember walking down the road to takka takka you somehow get an uber and make it back to the penthouse you crawl into bed and close your eyes feeling your heart beat rapidly ahh this is the end you think sweetly as you drift off into unconsciousness you awake the next morning youve got the colombian cold you feel like death everything is hazy but for the first time in over 10 years you are content welcome home x,213,43
#Bristruth30544,does anyone have any experience of moving from bristol back home during the year did it affect your student finance in any way or who did you contact about it please someone help,1,1
#Bristruth30543,having a favouriteleast favourite colour of fruit pastille is pretty embarrassing,4,1
#Bristruth30542,anyone else feel a responsibility for their parents who cant deal with the empty nest what can i do to make it easier for them  i want to live my own life but i want them to be happy,42,5
#Bristruth30541,hi if youre expecting a pink sparkly package from sniffpantiescouk it got delivered to your old address hmu if you want us to forward it to you,3,9
#Bristruth30540,the midlands dont exist there is no land between oxford and sheffield its a massive inland sea if you think youve changed trains at birmingham thats actually a film set in powys hence the awful weather you think youve met a brummie that was actually a dolphin hence the squeaky accent,132,24
#Bristruth30539,if another a cappella swine starts talking to me about proper mic technique i swear to god idk what ill do but someone hold me back,18,17
#Bristruth30538,my flatmates have started calling garlic bread gbread because it is mentioned so frequently,64,41
#Bristruth30537,yeah you may be talking to her but did she add you on linkedin,76,24
#Bristruth30536,my girlfriends mum once described oxford as too far north londoners man,52,11
#Bristruth30535,all bristol girls have 4 moods halloumi avocado toast flared trousers and cry,446,128
#Bristruth30531,if youre struggling with your visor fogging you and admit it  we all are rinse it in soapy water and let it air dry with the soapiness still on it is not perfect but a big improvement on not being able to see the whiteboard,36,9
#Bristruth30530,shoutout to our lecturer who didnt realise we were meant to have a meeting and had to zoom us from the car while driving,57,0
#Bristruth30529,to my lovely flatmates can we pleaaaasseeee keep the kitchen a bit cleaner,60,37
#Bristruth30528,why have people on blackboard collaborate for chemistry year 2 been so childish  cruel to their poor lecturers they are humans like the rest of us and it must feel awful enough to have someone not fully engage with your teaching but to have them actively going out of their way to humiliate you pretending to be them and putting pictures of them as your background is callous if this is your version of stand up comedy then you sense of humour is seen by almost the entire student body as trashy i bet you all consider yourselves nice people too smh,48,6
#Bristruth30527,if youre self isolating and need help please dont forget about mutual aid groups there are loads of folks who would happily do your shopping or anything you need there are subsets by postcode but the main brizzle one is here httpswwwfacebookcomgroups1032597030460220,6,1
#Bristruth30525,okay why is the art and social studies library a literal freezer someone please flick the heating on ,16,2
#Bristruth30524,okay but how long do the mtus take to give back corona results been waiting over 50 hours now tested at courtrooms,7,5
#Bristruth30523,isolation diary day 7 head is pounding ill spare you the details but much drinking was done with no dancing to metabolise it so i woke up drunk and its now 12pm and i have a lecture in an hour enroute to the shower i hoovered up some rice krispies these have been the soundtrack to my morning as people crunch them with their shoes enough was enough and this shall be my good deed of the day breakout room was for the first time not awkward because we all had something to talk about you guessed it  isolation instead of comparing translations we compared the state of quarantines in our respective flats had a friends debrief around 5 to discuss the events of last night not to be disclosed use your imagination or dont 523 all 28 yeah theres that many of us of our doors are being used as percussion instruments in what i can only describe as sounding like a cult summoning turns out dinner is being announced frankly a gong would achieve the same thing in half the amount of time even if that is still cultish 730 flat call with the lovely resilife rep bilbo baggins an alias for obvious reasons probably the most entertaining collaborate call known to a student one guy was blinded by his strobe light and nearly fell off his bed flatcests were outed and the rice krispies culprits were seemingly identified the message chat became a savage playground and bb actively ignored good shag 830 sipping on a fosters while i catch up on the farcical show that is our current government coming to terms with the fact that once i get out of this isolation i may only be able to go to a pub if they serve pasties with chips and a side salad im already looking at menus in preparation 1030 thought i would get an early night aka start watching shows early have gone for defending the guilty the prison footage is not dissimilar from the current state of my hallway so its somewhat relatable,33,1
#Bristruth30522,i think the saddest thing ive learnt this year is that parsons is a chain and doesnt just have 3 branches in bristol,39,6
#Bristruth30521,how are you a lawyer and your only form of argument is passive aggressive texts in the house group chat ,54,18
#Bristruth30520,right literally noone asked but as a scientist i simply had to i present my findings from a recent study which i spent far too much time and money on  a systematic review comparing a spectrum of oat milks available in uk supermarkets covering price on a scale of  texture and flavour  most milks bought where possible were unsweetened oat milks  from the most expensive to least  oatly 910  the og the real reason why i love oat milk creamy froths up beautifully and not too sweet  minor figures 910  slightly too thin but tastes amazing in coffee doesnt froth up great but would be my go to option if i was boujee  asda own brand 810  surprisingly good creamy so is a great texture only thing holding it back from reaching its true potential is the fact that it tastes like liquid sugar needs to chill out on the sweetness but grest for the price point  alpro 710  made mediocre masala chai so i have some pent up sadness associated with this which has admittedly clouded my judgement ignoring this trauma it was actually alright again it was just too sweet but on the plus side it is basically always on offer in the supermarket  homemade 610  this was a real curve ball but needed inorder to achieve a real and balanced scientific review super super cheap oats water agave  a few cashews for some fats grest texture but naturally didnt last as long and lacked a bit in my tea  lidl own brand 610  really not bad at all super affordable slightly too thin but honestly at the price that it is and the fact that ive had worse this does the job okay also provides an excuse to go to the lidl bakery so   aldi own brand with additives 410  tyra banks we were rooting for you honestly i wished i really wish this was better i am just deeply upset that its not better thin and far far too sweet  aldi own brand just oat and water 110  dont mean to be a hater because i stan the aldi soy milk but it was so thin i was like i was adding water to my tea rather than milk  plenish 5010  the worst thing ive ever put my self through needing to drink costs about one kidney per carton and is generally just the worst it is like water and tastes bitter i would literally sue if i could be bothered and i wrote this so i am clearly committee avoid at all costs ,148,76
#Bristruth30519,the midlands doesnt exist there is north south and middle of a country but you cannot identify as midlands you either identify as northern southern or neither fight me,83,40
#Bristruth30518,southerners complete lack of understanding of the concept of the midlands never fails to amaze me,204,81
#Bristruth30517,help flat civil war between drinkers and nondrinkers  any advice for a first year flat with different interests struggling to find common activities during isolation its getting really awkward,8,9
#Bristruth30516,to the guy in kingsdown who set a desk up on top of a garage to study can i join i need a new study space,7,0
#Bristruth30515,im not sure if the girl in the italian translation seminar knew she had her camera on but i very much enjoyed her twerking during the lesson,18,4
#Bristruth30514,the person living below me has taken up the trumpet what fresh hell is this,107,30
#Bristruth30513,just found out about recipes without cheese damn that shit sucks,38,16
#Bristruth30512,what the flip did you just flipping say about me you little flip ill have you know i graduated top of my class in the art of memery ive submitted numerous secret subs about bristol and i have over 300 confirmed posts i am trained in being an online bellend and im the top wanker in the entire bristol area you are nothing to me but just another target i will wipe you the flip out with precision the likes of which has never been seen before on this earth mark my flipping words you think you can get away with saying that poop to me over the internet think again as we speak i am contacting my secret network of submitters from across redland and your ip is being traced right now so you better prepare for the storm maggot youre flipping dead kid i can be anywhere anytime and i can rebut your post in over seven hundred ways and thats just with my iphone keyboard not only am i extensively trained in online douchery but i have access to the entire backlog of edgy memes and i will use them to their full extent to wipe your miserable ass off the face of the continent you little poop,18,4
#Bristruth30511,re bristruth30484 lets settle this genre war once and for all do you like dnb love  yes sad  no,1,5
#Bristruth30510,i like turkish delight i do a lot of people dont like turkish delight i mean frys turkish delight the type with the chocolate on it and the purple wrapper but i like it a lot of people say ugh turkish delight thats disgusting how can you eat that its like eating perfume its like eating old womens perfume like lavender water or rose water or whatever it is how can you like that but i like it i like turkish delight i dont like it enough to get it for every day or every week in fact i cant remember the last time i got a turkish delight but every now and then ill be in a shop and i walk by the shelves with all the chocolate and ill see a turkish delight and ill get it its nice i like it i like turkish delight,227,39
#Bristruth30509,only real fans of mrs potts follow their playlist on spotify its full of bops 1010 would recommend,26,26
#Bristruth30508,hold on have you been supposed to suck drumstick lollies this whole time,7,0
#Bristruth30507,can i just say that nrz are the worst agency of them all even worse than digs our flat came with a broken fridgefreezer a hole in the bathroom floor windows that dont open a front door with no lock and a backdoor with a hole in it and they seem to think theyre amazing for fixing a broken bed badly,11,7
#Bristruth30506,for the love of god will the peanut butter bandit just confess,19,2
#Bristruth30505,just read something about how in some unis isolating first years are being way overcharged to be brought food packages from the uni is this happening in bristol i really feel sorry for first years at the moment this may be a long shot but if youd be interested in helping shop for isolating students can you angry react to this and if anyone from courtrooms or any other isolated students that cant get food shopping pls sad react to this and i can message you and see what i can do sincerely a second year who wishes she could do more to help,16,3
#Bristruth30504,flatmates seem to fester fruit flies with their rubbish and the flat upstairs is selfisolating meanwhile im stuck in a year long contract of bills praying that asdas mac n cheese sauce goes back down in price 35p increase my arse  there is an upside though my friends though my room may be windowless it is damn good at blocking out noise so i can watch tv in peace whenever my 7mbps internet isnt cutting out huzzah,17,0
#Bristruth30503,shout out to our lecturer for sending a video for us to watch which had their telsa with a personalised licence plate in it subtle flexing,40,4
#Bristruth30502,dear aerospace students wth was this behaviour with one of the only two female lecturers we have i promise you you all wouldnt be so blunt direct and disrespectful with a male lecturer its bad enough that the chat is patronising on a regular basis especially considering how much of an acclaimed member of staff she is id like to see all of your professional careers go as far as hers smh just because she seems chill doesnt give you permission to be disrespectful the digital stench of misogyny is strong,240,8
#Bristruth30501,gotta give a shout out to one of our chemistry lecturers who gave a chemical explanation of why a curry is the best thing to eat after a night out,97,10
#Bristruth30500,last year i only ate pesto pasta this year its beans on toast next year im thinking fish finger sandwiches maybe korma from a jar my logic is that if i rotate the only meal i eat on a yearly basis by 60 i might have consumed a full set of nutrients,241,66
#Bristruth30499,how do i a black man explain to my white gf that wearing a bonnet isnt girly and that i need to do it to protect my very long 4c hair,25,1
#Bristruth30497,is it bad that i am ten times more likely to swipe right on a guy if his pictures are taken on film,14,2
#Bristruth30496,i want a babyactually i think i just want a pet something to wake up for,28,14
#Bristruth30495,can blackboard stop sending me notifications for subjects i dont do,233,7
#Bristruth30494,is it just me who feels like garlic bread has to be a starter for things but can never be a meal in itself like why cant i have a whole garlic pizza and thats dinner why do i think if i have the garlic bread i then need to think about what goes with it,29,11
#Bristruth30493,starting a petition to get lecturers to replace thankyou for watching and see you next time with remember to like comment and subscribe,114,5
#Bristruth30492,one of the few good things to happen this year was the pixar movie onward seriously i highly recommend its the perfect mix of lighthearted banter discourse on believing in yourself and a wonderfully told story about the powerful love a father had for his sons but most importantly the love two brothers never realised they shared for one another,42,8
#Bristruth30491,can we please get a carvery appreciation society where we just go for cute carvery lunches all the time,59,18
#Bristruth30490,imagine being able to snooze your alarm just by glaring at it indignantly,21,3
#Bristruth30488,any other engmaths getting really distracted by epidemic modelling instead of doing their coursework,20,5
#Bristruth30485,whenif elizabeth ii dies and the throne passes to prince charles  will queens building be renamed to kings,16,2
#Bristruth30484,whoever keeps telling the ski trip organisers that uob students like dnb needs to stop,34,8
#Bristruth30483,psa if youre going to the courtrooms to get covid tested the mtu is behind the gate round the back of the building took me forever to find it,1,1
Admin post:, hello all this a quick reminder to all societies regarding our opportunity to advertise on the bristruths website and page feed due to high demand we ask that all societies who are interested please get in touch as soon as possible by messaging the page on facebook as we only have a few spaces left  thank you  the admins xxx,3,3
#Bristruth30482,massive shout out to the epigram news team youre all doing a great job at and providing so much information that i wouldnt know about otherwise keep up the good work ,67,10
